conversation_number,conversation,index,intent
14,"assistant: Would you like a voucher for the inconvenience as well?",6,offer_compensation
14,"customer: Yes, please.",7,accept_compensation
14,"assistant: I’ve added a $10 voucher to your account.",8,confirm_voucher
14,"customer: Much appreciated!",9,express_gratitude
14,"assistant: You’re welcome! Have a nice day.",10,close_conversation
15,"customer: Hi, I can’t track my order in the app.",0,report_tracking_issue
15,"assistant: Sorry about that. Can you give me your order number?",1,ask_order_number
15,"customer: It’s 67221.",2,provide_order_number
15,"assistant: Thank you. I see the order is on its way, but the tracking system is delayed.",3,explain_issue
15,"assistant: Your delivery should still arrive within the scheduled slot.",4,reassure_customer
15,"customer: Okay, thanks for checking.",5,acknowledge
15,"assistant: I’ll send you updates by SMS until it arrives.",6,offer_alternative_updates
15,"customer: That’s helpful, thanks!",7,express_gratitude
15,"assistant: You’re very welcome!",8,close_conversation
16,"customer: Hi, my payment failed when I tried to check out.",0,report_payment_failure
16,"assistant: I see. Did you receive any error message?",1,ask_error_details
16,"customer: Yes, it said “transaction declined.”",2,describe_error_message
16,"assistant: Thanks for sharing. Was this with a credit card or PayPal?",3,ask_payment_method
16,"customer: With a credit card.",4,provide_payment_method
16,"assistant: Sometimes banks decline transactions for security. Could you try again or use PayPal instead?",5,suggest_alternative
16,"customer: I’ll try PayPal.",6,agree_to_try
16,"assistant: Great. If the card still fails later, contact your bank for details.",7,provide_guidance
16,"customer: Okay, thanks for the advice.",8,express_gratitude
16,"assistant: You’re welcome!",9,close_conversation
17,"customer: Hello, I forgot my account password.",0,report_forgot_password
17,"assistant: No worries. You can reset it by tapping “Forgot password” on the login screen.",1,provide_instructions
17,"customer: Will I get a reset email?",2,ask_followup
17,"assistant: Yes, you’ll receive an email with a link to create a new password.",3,confirm_process
17,"customer: Perfect, I’ll try that now.",4,acknowledge
17,"assistant: If you don’t see the email, please check your spam folder.",5,give_tip
17,"customer: Got it, thanks.",6,express_gratitude
17,"assistant: Glad I could help!",7,close_conversation
18,"customer: Hi, I want to unsubscribe from the newsletter.",0,request_unsubscribe
18,"assistant: Sure, I can help. Do you want to unsubscribe from all emails or just promotions?",1,clarify_preference
18,"customer: Just the promotions please.",2,provide_preference
18,"assistant: Understood. I’ve updated your email settings so you’ll only receive receipts and account info.",3,confirm_action
18,"customer: Great, thanks a lot.",4,express_gratitude
18,"assistant: Anytime! Your preference is saved.",5,close_conversation
19,"customer: Hello, I didn’t get the points for my last purchase.",0,report_missing_points
19,"assistant: Sorry about that. Could you share your receipt number?",1,request_receipt_number
19,"customer: It’s 88234.",2,provide_receipt_number
19,"assistant: Thanks. I checked and the points didn’t register due to a system glitch.",3,confirm_issue
19,"assistant: I’ll manually add the points to your account now.",4,offer_solution
19,"customer: Perfect, thank you.",5,accept_solution
19,"assistant: Done. The points are now visible in your balance.",6,confirm_action
19,"customer: Awesome, appreciate the quick fix!",7,express_gratitude
19,"assistant: Glad to help!",8,close_conversation
20,"customer: Hi, the app language switched to Dutch, but I want English.",0,report_language_issue
20,"assistant: Understood. You can change it in Settings → Language → English.",1,provide_instructions
20,"customer: Okay, let me check.",2,acknowledge
20,"customer: Yes, that worked. Thanks!",3,confirm_solution
20,"assistant: Great to hear! Anything else I can help with?",4,offer_additional_help
20,"customer: No, that’s all.",5,end_request
20,"assistant: Alright, have a good day!",6,close_conversation
21,"customer: Hi, I accidentally ordered the wrong size of detergent.",0,report_wrong_order
21,"assistant: No problem. Do you want to exchange it for the correct size or get a refund?",1,offer_resolution_options
21,"customer: I’d like to exchange it.",2,request_exchange
21,"assistant: Sure, I’ll arrange an exchange. The courier will pick up the wrong item and deliver the correct one tomorrow.",3,confirm_exchange
21,"customer: Perfect, thank you.",4,express_gratitude
21,"assistant: You’re very welcome!",5,close_conversation
22,"customer: Hello, I haven’t received my invoice yet.",0,report_missing_invoice
22,"assistant: Sorry about that. Could you give me your order number?",1,request_order_number
22,"customer: It’s 10322.",2,provide_order_number
22,"assistant: Thanks. The invoice is being generated and should arrive in your email within 24 hours.",3,explain_delay
22,"customer: Okay, I’ll wait for it.",4,acknowledge
22,"assistant: If it doesn’t arrive by then, let us know and I’ll resend it.",5,offer_followup
22,"customer: Will do, thanks!",6,express_gratitude
22,"assistant: Happy to help!",7,close_conversation
23,"customer: Hi, my discount didn’t apply to the final bill.",0,report_discount_issue
23,"assistant: I see. Which discount was this for?",1,ask_discount_details
23,"customer: It was 10% off fresh produce.",2,provide_discount_details
23,"assistant: Thanks. That discount only applies if you buy at least 3 items. Did you have fewer?",3,explain_condition
23,"customer: Oh, I only bought 2.",4,confirm_order_amount
23,"assistant: That explains it. I’ll add a goodwill voucher to your account for next time.",5,offer_compensation
23,"customer: Great, thanks for understanding.",6,express_gratitude
23,"assistant: You’re welcome!",7,close_conversation
24,"customer: Hello, I need to change my delivery time slot.",0,request_change_delivery_time
24,"assistant: Sure. What new time slot would you like?",1,ask_new_timeslot
24,"customer: Between 6 and 8 pm.",2,provide_new_timeslot
24,"assistant: Got it. I’ve updated your delivery slot to 6–8 pm.",3,confirm_update
24,"customer: Thanks, that works.",4,express_gratitude
24,"assistant: Happy to help!",5,close_conversation
25,"customer: Hi, the barcode on my loyalty card won’t scan.",0,report_card_issue
25,"assistant: Sorry about that. Is the barcode scratched or faded?",1,ask_card_condition
25,"customer: Yes, it’s very faded.",2,describe_card_condition
25,"assistant: That would explain it. I’ll send you a replacement card.",3,offer_solution
25,"customer: Great, thank you.",4,accept_solution
25,"assistant: The new card will arrive within 5 working days.",5,confirm_action
25,"customer: Perfect, much appreciated.",6,express_gratitude
25,"assistant: Anytime! Have a good day.",7,close_conversation
