index,intent,count,messages
0,delivery_address_update_request,0,"customer: Hello, I want to update my delivery address."
1,delivery_address_confirmation,1,assistant: Of course. Could you provide me with the new address?
2,delivery_address_provision,2,"customer: Sure, it’s 12 Maple Street, Springfield."
3,delivery_address_preference_inquiry,3,assistant: Got it. Do you want to apply this change just for the next delivery or for all future orders?
4,delivery_address_preference_confirmation,4,customer: Please for all future orders.
5,delivery_address_update_confirmation,5,"assistant: Done, your profile has been updated."
6,gratitude_expression,6,"customer: Perfect, thank you for the help."
7,assistance_offer,7,assistant: Happy to help! Anything else I can do for you today?
8,farewell_initiation,8,"customer: No, that’s everything."
9,farewell_response,9,assistant: Great. Have a wonderful day!
0,payment_issue_report,0,"customer: Hi, my payment failed when I tried to check out."
1,payment_issue_inquiry,1,assistant: I see. Did you receive any error message?
2,payment_issue_confirmation,2,"customer: Yes, it said “transaction declined.”"
3,payment_method_inquiry,3,assistant: Thanks for sharing. Was this with a credit card or PayPal?
4,payment_method_confirmation,4,customer: With a credit card.
5,payment_solution_suggestion,5,assistant: Sometimes banks decline transactions for security. Could you try again or use PayPal instead?
6,payment_solution_attempt,6,customer: I’ll try PayPal.
7,payment_issue_resolution_advice,7,"assistant: Great. If the card still fails later, contact your bank for details."
8,gratitude_expression,8,"customer: Okay, thanks for the advice."
9,gratitude_response,9,assistant: You’re welcome!
0,payment_issue_report,0,"customer: Hi, I'm having trouble with my loyalty card."
1,payment_issue_inquiry,1,assistant: Hello! Sorry to hear that. Can you tell me what exactly is going wrong?
2,payment_issue_report,2,customer: The card isn't being recognized at checkout.
3,payment_solution_suggestion,3,"assistant: I understand, that must be frustrating. Have you tried rescanning it or adding it to the app?"
4,payment_solution_attempt,4,"customer: Yes, I tried both. Still doesn't work."
5,gratitude_response,5,assistant: Thanks for checking that. It’s possible the card is damaged.
6,payment_solution_suggestion,6,assistant: Would you like me to request a replacement card for you?
7,payment_solution_confirmation,7,"customer: Yes please, that would be great."
8,payment_solution_attempt,8,"assistant: Perfect, I’ll arrange for a new card to be sent to your address. It usually takes 3–5 business days."
9,gratitude_response,9,"customer: Awesome, thanks for the quick help!"
10,farewell_exchange,10,assistant: You’re very welcome! Have a great day.
0,payment_issue_report,0,"customer: Hi, I think I was overcharged on my last bill."
1,payment_issue_inquiry,1,assistant: I’m sorry to hear that. Can you share the bill number or order ID?
2,payment_issue_report,2,"customer: Yes, it’s 99420."
3,payment_solution_attempt,3,assistant: Thanks. I checked and you were indeed charged twice for delivery.
4,payment_solution_attempt,4,assistant: I’ll refund the extra charge immediately.
5,payment_issue_inquiry,5,"customer: Great, when will I see the refund?"
6,payment_solution_suggestion,6,assistant: Refunds usually show within 2–3 business days.
7,gratitude_response,7,"customer: Okay, thanks for the quick check."
8,farewell_exchange,8,assistant: Happy to help! Have a nice day.
0,payment_issue_report,0,"customer: Hello, my voucher isn’t applying at checkout."
1,payment_issue_inquiry,1,assistant: I see. What voucher code are you trying to use?
2,payment_issue_report,2,customer: It’s FREEDELIVERY.
3,payment_solution_attempt,3,assistant: Thanks. That code is only valid for orders above $50. Was your order below that amount?
4,payment_issue_report,4,"customer: Yes, my total was $40."
5,payment_solution_suggestion,5,assistant: That’s why it didn’t work. Would you like me to issue you a different voucher?
6,payment_solution_attempt,6,"customer: Yes, please."
7,payment_solution_attempt,7,assistant: Done! I’ve added a $5 discount voucher to your account instead.
8,gratitude_response,8,"customer: Awesome, appreciate the help!"
9,gratitude_response,9,assistant: You’re very welcome.
0,delivery_issue_report,0,"customer: Hello, my delivery is late."
1,delivery_issue_inquiry,1,assistant: I’m really sorry about that. Can you tell me your order number?
2,order_information_provision,2,customer: It’s 78342.
3,order_status_update,3,assistant: Thank you. I see your order is delayed due to traffic but should arrive within the next hour.
4,acknowledgment,4,"customer: Okay, thanks for letting me know."
5,compensation_offer,5,assistant: I’ll also apply a free delivery voucher to your account for the inconvenience.
6,gratitude_expression,6,"customer: That’s very kind, thank you."
7,assurance_of_support,7,assistant: You’re welcome. I’ll keep tracking your order until it’s delivered.
8,gratitude_expression,8,customer: Appreciate the help!
9,farewell_exchange,9,assistant: Happy to assist! Have a good evening.
0,delivery_issue_inquiry,0,"customer: Hello, I need to change my delivery time slot."
1,delivery_issue_inquiry,1,assistant: Sure. What new time slot would you like?
2,delivery_issue_inquiry,2,customer: Between 6 and 8 pm.
3,delivery_issue_report,3,assistant: Got it. I’ve updated your delivery slot to 6–8 pm.
4,gratitude_expression,4,"customer: Thanks, that works."
5,gratitude_expression,5,assistant: Happy to help!
0,promo_code_issue_report,0,"customer: Hi, the promo code I tried didn’t work."
1,promo_code_inquiry,1,assistant: Sorry about that. Can you tell me which promo code you used?
2,promo_code_specification,2,customer: It was SAVE20.
3,promo_code_expiry_explanation,3,"assistant: Thanks. That code expired yesterday, which is why it didn’t apply."
4,promo_code_expiry_acknowledgment,4,"customer: Oh, I didn’t realize."
5,goodwill_offer,5,assistant: No worries. I can give you a new code for 15% off as a goodwill gesture.
6,goodwill_acknowledgment,6,"customer: That would be great, thanks!"
7,promo_code_provision,7,assistant: Here’s the new code: THANKYOU15. You can use it until next week.
8,gratitude_expression,8,"customer: Awesome, I appreciate it."
9,farewell_exchange,9,assistant: My pleasure! Enjoy your shopping.
0,report_expired_item,0,"customer: Hello, one of the items I bought is expired."
1,inquire_expired_item_details,1,"assistant: Oh no, I’m very sorry about that. Can you tell me which item it is?"
2,report_expired_item_details,2,customer: A carton of milk.
3,issue_refund_and_notify,3,assistant: Thank you. I’ll issue a refund right away and also notify the store.
4,acknowledge_action,4,customer: That would be good.
5,refund_acknowledgment,5,assistant: Refund has been processed. You’ll see it back in your account soon.
6,offer_goodwill_voucher,6,assistant: Would you like a voucher for the inconvenience as well?
7,accept_goodwill_offer,7,"customer: Yes, please."
8,goodwill_voucher_provision,8,assistant: I’ve added a $10 voucher to your account.
9,gratitude_acknowledgment,9,customer: Much appreciated!
10,farewell_exchange,10,assistant: You’re welcome! Have a nice day.
0,report_login_issue,0,"customer: Hi, I can’t log in to the app anymore."
1,login_issue_troubleshooting,1,assistant: Sorry to hear that! Are you getting an error message when you try to log in?
2,report_incorrect_password,2,"customer: Yes, it says my password is incorrect."
3,offer_password_reset_guidance,3,assistant: Understood. Have you already tried resetting your password?
4,express_uncertainty,4,"customer: Not yet, I wasn’t sure if that would help."
5,offer_password_reset_guidance,5,"assistant: No worries, resetting usually solves this problem. Would you like me to guide you through it?"
6,accept_help_offer,6,"customer: Yes please, that would help."
7,provide_password_reset_instructions,7,"assistant: Great! Open the app, tap “Forgot password”, and follow the steps. You’ll get an email to set a new password."
8,gratitude_acknowledgment,8,"customer: Okay, I’ll do that now. Thanks for your support!"
9,offer_additional_assistance_after_reset,9,assistant: You’re very welcome! Let me know if you need more help after resetting.
0,report_missing_rewards_points,0,"customer: Hello, I didn’t get the points for my last purchase."
1,request_receipt_information,1,assistant: Sorry about that. Could you share your receipt number?
2,provide_receipt_information,2,customer: It’s 88234.
3,explain_issue_and_solution,3,assistant: Thanks. I checked and the points didn’t register due to a system glitch.
4,resolve_issue,4,assistant: I’ll manually add the points to your account now.
5,express_gratitude_for_resolution,5,"customer: Perfect, thank you."
6,confirm_issue_resolution,6,assistant: Done. The points are now visible in your balance.
7,express_appreciation,7,"customer: Awesome, appreciate the quick fix!"
8,express_willingness_to_help,8,assistant: Glad to help!
0,report_issue_with_loyalty_card,0,"customer: Hi, the barcode on my loyalty card won’t scan."
1,inquire_about_issue_details,1,assistant: Sorry about that. Is the barcode scratched or faded?
2,confirm_issue_details,2,"customer: Yes, it’s very faded."
3,explain_issue_and_solution,3,assistant: That would explain it. I’ll send you a replacement card.
4,express_gratitude_for_solution,4,"customer: Great, thank you."
5,provide_solution_details,5,assistant: The new card will arrive within 5 working days.
6,express_gratitude_for_solution,6,"customer: Perfect, much appreciated."
7,farewell_exchange,7,assistant: Anytime! Have a good day.
0,report_issue_with_delivery,0,"customer: Hello, I received the wrong product in my delivery."
1,inquire_about_issue_details,1,assistant: I’m sorry to hear that! Could you tell me which product you received instead?
2,provide_issue_details,2,customer: I ordered orange juice but got apple juice.
3,offer_solution_options,3,assistant: Thanks for clarifying. I can arrange a refund or send the correct product. What would you prefer?
4,request_preferred_solution,4,customer: Please send the correct product.
5,confirm_solution_implementation,5,assistant: Done! I’ll schedule a replacement delivery for tomorrow.
6,express_gratitude_for_solution,6,"customer: Perfect, thank you."
7,offer_additional_assistance_after_solution,7,assistant: You’re very welcome. Is there anything else I can support you with today?
8,confirm_no_further_assistance_needed,8,"customer: No, that’s it."
9,farewell_exchange,9,assistant: Great. Have a wonderful day!
0,request_account_update,0,"customer: Hi, I need to update my email address."
1,inquire_about_update_details,1,assistant: Sure thing. What’s the new email you’d like to use?
2,provide_update_details,2,customer: john.doe@example.com.
3,confirm_update_completion,3,assistant: Got it. I’ve updated your profile with the new email.
4,inquire_about_post_update_impact,4,customer: Will I still get my receipts and newsletters there?
5,confirm_post_update_impact,5,"assistant: Yes, all communications will now go to the new address."
6,express_gratitude_for_solution,6,"customer: Perfect, thank you."
7,offer_additional_assistance,7,assistant: Happy to help. Anything else you’d like today?
8,farewell_exchange,8,"customer: No, that’s all."
9,farewell_exchange,9,"assistant: Great, enjoy your day!"
0,request_account_update,0,"customer: Hi, I’d like to change my payment method."
1,inquire_about_update_details,1,assistant: Of course. Which payment method would you like to use instead?
2,request_account_update,2,customer: I want to switch to PayPal.
3,confirm_update_completion,3,assistant: Got it. I’ll update your account to use PayPal for future orders.
4,express_gratitude_for_solution,4,"customer: Great, thanks."
5,inquire_about_post_update_impact,5,assistant: You’re welcome. Do you also want me to refund the last order to PayPal instead of your card?
6,confirm_post_update_impact,6,"customer: Yes, that would be better."
7,confirm_update_completion,7,"assistant: Okay, refund has been redirected to PayPal. You should see it in 2–3 days."
8,express_gratitude_for_solution,8,"customer: Awesome, thank you so much."
9,offer_additional_assistance,9,assistant: My pleasure! Anything else I can support you with?
10,farewell_exchange,10,"customer: No, that’s all."
11,farewell_exchange,11,"assistant: Alright, have a great day!"
0,report_issue,0,"customer: Hello, the app keeps crashing on my phone."
1,request_device_information,1,assistant: Sorry to hear that. Which phone model are you using?
2,provide_device_information,2,customer: It’s an iPhone 12.
3,inquire_about_update_status,3,assistant: Thanks. Have you updated to the latest version of the app?
4,uncertain_update_status,4,"customer: Not sure, maybe not."
5,suggest_solution,5,assistant: Please try updating the app in the App Store. That usually fixes the issue.
6,acknowledge_solution_suggestion,6,"customer: Okay, I’ll do that."
7,offer_additional_assistance,7,"assistant: If it still crashes after the update, let us know and we’ll investigate further."
8,express_gratitude_for_solution,8,"customer: Will do, thanks for the help!"
9,farewell_exchange,9,assistant: You’re welcome! Have a great day.
0,request_unsubscribe_newsletter,0,"customer: Hi, I want to unsubscribe from the newsletter."
1,clarify_unsubscription_preference,1,"assistant: Sure, I can help. Do you want to unsubscribe from all emails or just promotions?"
2,specify_unsubscription_preference,2,customer: Just the promotions please.
3,confirm_unsubscription_update,3,assistant: Understood. I’ve updated your email settings so you’ll only receive receipts and account info.
4,express_gratitude,4,"customer: Great, thanks a lot."
5,confirm_action_completion,5,assistant: Anytime! Your preference is saved.
0,report_issue,0,"customer: Hi, I can’t find my receipt in the app."
1,request_order_date,1,"assistant: No problem, I can help. Which order date are you looking for?"
2,provide_order_date,2,customer: From last Friday.
3,provide_order_status_update,3,assistant: Thanks! It looks like the receipt is still being processed. It should appear within 24 hours.
4,acknowledge_information,4,"customer: Okay, good to know."
5,offer_additional_assistance,5,assistant: Would you like me to email you a copy once it’s ready?
6,accept_offer,6,"customer: Yes, that would be great."
7,confirm_action_completion,7,"assistant: Perfect, I’ll make sure you receive it by tomorrow."
8,express_gratitude,8,customer: Thanks a lot!
9,farewell_exchange,9,assistant: You’re welcome! Have a nice day.
0,report_issue,0,"customer: Hi, I accidentally ordered the wrong size of detergent."
1,offer_additional_assistance,1,assistant: No problem. Do you want to exchange it for the correct size or get a refund?
2,request_order_date,2,customer: I’d like to exchange it.
3,provide_order_status_update,3,"assistant: Sure, I’ll arrange an exchange. The courier will pick up the wrong item and deliver the correct one tomorrow."
4,accept_offer,4,"customer: Perfect, thank you."
5,offer_additional_assistance,5,assistant: You’re very welcome!
0,report_issue,0,"customer: Hello, I haven’t received my invoice yet."
1,request_information,1,assistant: Sorry about that. Could you give me your order number?
2,provide_information,2,customer: It’s 10322.
3,provide_order_status_update,3,assistant: Thanks. The invoice is being generated and should arrive in your email within 24 hours.
4,accept_offer,4,"customer: Okay, I’ll wait for it."
5,offer_additional_assistance,5,"assistant: If it doesn’t arrive by then, let us know and I’ll resend it."
6,farewell_exchange,6,"customer: Will do, thanks!"
7,farewell_exchange,7,assistant: Happy to help!
0,request_cancellation,0,"customer: Hi, I need to cancel my order."
1,request_information,1,assistant: I can help with that. Could you share the order number?
2,provide_information,2,"customer: Yes, it’s 45911."
3,provide_order_status_update,3,"assistant: Thanks. The order is still being prepared, so I can cancel it right now."
4,accept_offer,4,customer: Please go ahead.
5,confirm_cancellation,5,"assistant: Done. Your order has been canceled, and the payment will be refunded within 2–3 days."
6,express_gratitude,6,"customer: Perfect, thanks for the quick help."
7,offer_additional_assistance,7,assistant: You’re very welcome. Anything else you’d like me to check?
8,farewell_exchange,8,"customer: No, that’s it."
9,farewell_exchange,9,assistant: Alright. Have a nice day!
