index,intent,count,messages
6,offer_solution,6,assistant: I’ll send you updates by SMS until it arrives.
7,express_gratitude,7,"customer: That’s helpful, thanks!"
8,close_conversation,8,assistant: You’re very welcome!
0,describe_issue,0,"customer: Hello, I want to update my delivery address."
1,ask_for_information,1,assistant: Of course. Could you provide me with the new address?
2,provide_information,2,"customer: Sure, it’s 12 Maple Street, Springfield."
3,ask_for_preference,3,assistant: Got it. Do you want to apply this change just for the next delivery or for all future orders?
4,provide_preference,4,customer: Please for all future orders.
5,offer_solution,5,"assistant: Done, your profile has been updated."
6,express_gratitude,6,"customer: Perfect, thank you for the help."
7,close_conversation,7,assistant: Happy to help! Anything else I can do for you today?
8,end_request,8,"customer: No, that’s everything."
9,close_conversation,9,assistant: Great. Have a wonderful day!
0,describe_issue,0,"customer: Hi, my payment failed when I tried to check out."
1,ask_for_information,1,assistant: I see. Did you receive any error message?
2,describe_issue,2,"customer: Yes, it said “transaction declined.”"
3,ask_for_information,3,assistant: Thanks for sharing. Was this with a credit card or PayPal?
4,provide_preference,4,customer: With a credit card.
5,offer_solution,5,assistant: Sometimes banks decline transactions for security. Could you try again or use PayPal instead?
6,provide_preference,6,customer: I’ll try PayPal.
7,offer_solution,7,"assistant: Great. If the card still fails later, contact your bank for details."
8,acknowledge_and_thank,8,"customer: Okay, thanks for the advice."
9,express_gratitude,9,assistant: You’re welcome!
0,describe_issue,0,"customer: Hi, I'm having trouble with my loyalty card."
1,ask_for_information,1,assistant: Hello! Sorry to hear that. Can you tell me what exactly is going wrong?
2,describe_issue,2,customer: The card isn't being recognized at checkout.
3,offer_solution,3,"assistant: I understand, that must be frustrating. Have you tried rescanning it or adding it to the app?"
4,describe_issue,4,"customer: Yes, I tried both. Still doesn't work."
5,acknowledge,5,assistant: Thanks for checking that. It’s possible the card is damaged.
6,offer_solution,6,assistant: Would you like me to request a replacement card for you?
7,provide_preference,7,"customer: Yes please, that would be great."
8,offer_solution,8,"assistant: Perfect, I’ll arrange for a new card to be sent to your address. It usually takes 3–5 business days."
9,express_gratitude,9,"customer: Awesome, thanks for the quick help!"
10,close_conversation,10,assistant: You’re very welcome! Have a great day.
0,describe_issue,0,"customer: Hi, I think I was overcharged on my last bill."
1,ask_for_information,1,assistant: I’m sorry to hear that. Can you share the bill number or order ID?
2,provide_information,2,"customer: Yes, it’s 99420."
3,acknowledge_and_inform,3,assistant: Thanks. I checked and you were indeed charged twice for delivery.
4,offer_solution,4,assistant: I’ll refund the extra charge immediately.
5,ask_for_information,5,"customer: Great, when will I see the refund?"
6,provide_information,6,assistant: Refunds usually show within 2–3 business days.
7,acknowledge,7,"customer: Okay, thanks for the quick check."
8,close_conversation,8,assistant: Happy to help! Have a nice day.
0,describe_issue,0,"customer: Hello, my voucher isn’t applying at checkout."
1,ask_voucher_code,1,assistant: I see. What voucher code are you trying to use?
2,provide_information,2,customer: It’s FREEDELIVERY.
3,provide_information,3,assistant: Thanks. That code is only valid for orders above $50. Was your order below that amount?
4,provide_information,4,"customer: Yes, my total was $40."
5,offer_solution,5,assistant: That’s why it didn’t work. Would you like me to issue you a different voucher?
6,acknowledge_and_inform,6,"customer: Yes, please."
7,offer_solution,7,assistant: Done! I’ve added a $5 discount voucher to your account instead.
8,express_gratitude,8,"customer: Awesome, appreciate the help!"
9,express_gratitude,9,assistant: You’re very welcome.
0,describe_issue,0,"customer: Hello, my delivery is late."
1,ask_order_number,1,assistant: I’m really sorry about that. Can you tell me your order number?
2,provide_information,2,customer: It’s 78342.
3,provide_information,3,assistant: Thank you. I see your order is delayed due to traffic but should arrive within the next hour.
4,acknowledge,4,"customer: Okay, thanks for letting me know."
5,offer_solution,5,assistant: I’ll also apply a free delivery voucher to your account for the inconvenience.
6,express_gratitude,6,"customer: That’s very kind, thank you."
7,provide_information,7,assistant: You’re welcome. I’ll keep tracking your order until it’s delivered.
8,express_gratitude,8,customer: Appreciate the help!
9,close_conversation,9,assistant: Happy to assist! Have a good evening.
0,describe_issue,0,"customer: Hello, I need to change my delivery time slot."
1,ask_new_time_slot,1,assistant: Sure. What new time slot would you like?
2,provide_information,2,customer: Between 6 and 8 pm.
3,offer_solution,3,assistant: Got it. I’ve updated your delivery slot to 6–8 pm.
4,express_gratitude,4,"customer: Thanks, that works."
5,close_conversation,5,assistant: Happy to help!
0,describe_issue,0,"customer: Hi, the promo code I tried didn’t work."
1,ask_voucher_code,1,assistant: Sorry about that. Can you tell me which promo code you used?
2,provide_voucher_code,2,customer: It was SAVE20.
3,diagnose_issue,3,"assistant: Thanks. That code expired yesterday, which is why it didn’t apply."
4,acknowledge,4,"customer: Oh, I didn’t realize."
5,offer_solution,5,assistant: No worries. I can give you a new code for 15% off as a goodwill gesture.
6,express_gratitude,6,"customer: That would be great, thanks!"
7,offer_solution,7,assistant: Here’s the new code: THANKYOU15. You can use it until next week.
8,express_gratitude,8,"customer: Awesome, I appreciate it."
9,close_conversation,9,assistant: My pleasure! Enjoy your shopping.
0,describe_issue,0,"customer: Hello, one of the items I bought is expired."
1,diagnose_issue,1,"assistant: Oh no, I’m very sorry about that. Can you tell me which item it is?"
2,describe_issue,2,customer: A carton of milk.
3,offer_solution,3,assistant: Thank you. I’ll issue a refund right away and also notify the store.
4,acknowledge,4,customer: That would be good.
5,offer_solution,5,assistant: Refund has been processed. You’ll see it back in your account soon.
6,offer_solution,6,assistant: Would you like a voucher for the inconvenience as well?
7,acknowledge,7,"customer: Yes, please."
8,offer_solution,8,assistant: I’ve added a $10 voucher to your account.
9,express_gratitude,9,customer: Much appreciated!
10,close_conversation,10,assistant: You’re welcome! Have a nice day.
0,describe_issue,0,"customer: Hi, I can’t log in to the app anymore."
1,diagnose_issue,1,assistant: Sorry to hear that! Are you getting an error message when you try to log in?
2,describe_issue,2,"customer: Yes, it says my password is incorrect."
3,diagnose_issue,3,assistant: Understood. Have you already tried resetting your password?
4,acknowledge,4,"customer: Not yet, I wasn’t sure if that would help."
5,offer_solution,5,"assistant: No worries, resetting usually solves this problem. Would you like me to guide you through it?"
6,acknowledge,6,"customer: Yes please, that would help."
7,offer_solution,7,"assistant: Great! Open the app, tap “Forgot password”, and follow the steps. You’ll get an email to set a new password."
8,express_gratitude,8,"customer: Okay, I’ll do that now. Thanks for your support!"
9,close_conversation,9,assistant: You’re very welcome! Let me know if you need more help after resetting.
0,describe_issue,0,"customer: Hello, I didn’t get the points for my last purchase."
1,ask_order_number,1,assistant: Sorry about that. Could you share your receipt number?
2,provide_order_number,2,customer: It’s 88234.
3,diagnose_issue,3,assistant: Thanks. I checked and the points didn’t register due to a system glitch.
4,offer_solution,4,assistant: I’ll manually add the points to your account now.
5,express_gratitude,5,"customer: Perfect, thank you."
6,confirm_solution,6,assistant: Done. The points are now visible in your balance.
7,express_gratitude,7,"customer: Awesome, appreciate the quick fix!"
8,close_conversation,8,assistant: Glad to help!
0,describe_issue,0,"customer: Hi, the barcode on my loyalty card won’t scan."
1,diagnose_issue,1,assistant: Sorry about that. Is the barcode scratched or faded?
2,confirm_solution,2,"customer: Yes, it’s very faded."
3,offer_solution,3,assistant: That would explain it. I’ll send you a replacement card.
4,express_gratitude,4,"customer: Great, thank you."
5,confirm_solution,5,assistant: The new card will arrive within 5 working days.
6,express_gratitude,6,"customer: Perfect, much appreciated."
7,close_conversation,7,assistant: Anytime! Have a good day.
